epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,21676.8,0.79529,2.39727,0.23733,0.38336,0.01359,1.24362,0.97217,0.97506,0.99052,0.87439,0.89408,0.86383,0.86374,0.72389,0.56989,1.48285,0.06532,0.22428,0.01242,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,22199.3,0.78303,2.32735,0.23362,0.37785,0.01331,1.10514,0.97212,0.97324,0.99002,0.87462,0.89712,0.86897,0.87302,0.72639,0.57026,1.46198,0.06521,0.22473,0.01243,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,22720.5,0.77227,2.28113,0.23386,0.37403,0.01324,1.07629,0.9712,0.97579,0.9905,0.87594,0.90178,0.8752,0.87766,0.73164,0.56469,1.42839,0.06393,0.22434,0.01226,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,23240.2,0.77,2.2709,0.23078,0.36975,0.01318,1.03707,0.97053,0.97774,0.99051,0.8766,0.90228,0.87662,0.87819,0.73357,0.56459,1.42401,0.0638,0.22187,0.01224,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,23759.8,0.76632,2.25997,0.22932,0.36894,0.01304,0.98349,0.9772,0.97273,0.99092,0.87722,0.90748,0.88085,0.88645,0.73845,0.56352,1.40597,0.06194,0.21292,0.01224,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,24284.5,0.75944,2.23145,0.22815,0.36849,0.01289,0.92664,0.9774,0.97337,0.99112,0.8795,0.9033,0.88046,0.87907,0.73885,0.55723,1.3955,0.06149,0.21189,0.01207,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,24806.9,0.75662,2.21099,0.22638,0.37065,0.01289,0.93271,0.97467,0.9759,0.99114,0.88018,0.8989,0.87696,0.87706,0.73793,0.55492,1.40791,0.06144,0.21218,0.01201,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,25332.1,0.74966,2.16742,0.22303,0.36103,0.01269,0.82044,0.9771,0.97341,0.99114,0.88109,0.89489,0.87554,0.87386,0.737,0.55282,1.41486,0.06038,0.21154,0.01197,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,25856.7,0.74373,2.12983,0.22307,0.35278,0.01265,0.7645,0.97565,0.97375,0.99108,0.88175,0.89794,0.87682,0.87686,0.74036,0.55101,1.39825,0.05953,0.20935,0.01194,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,26409.7,0.58645,1.46666,0.0877,0.22477,0.01341,1.19983,0.97477,0.97483,0.99134,0.88249,0.90439,0.87997,0.8787,0.74344,0.54475,1.3746,0.05151,0.2052,0.01177,0,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,26939.9,0.57009,1.40684,0.08256,0.21355,0.01293,1.0692,0.97711,0.97366,0.9915,0.88527,0.90633,0.88582,0.88832,0.74863,0.5396,1.34929,0.04683,0.20328,0.01163,0,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,27467.4,0.55641,1.35858,0.07958,0.2084,0.01256,0.95937,0.97663,0.97489,0.99182,0.88669,0.91477,0.88531,0.8906,0.7532,0.53391,1.32371,0.04331,0.20102,0.01148,0,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,27989.5,0.5494,1.32432,0.07772,0.2002,0.01233,0.89257,0.97765,0.97571,0.99193,0.88766,0.90611,0.89529,0.89064,0.75446,0.53047,1.31564,0.04099,0.19854,0.01138,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,28510.5,0.53573,1.29816,0.07544,0.19582,0.01195,0.81691,0.97643,0.9767,0.99207,0.88868,0.91716,0.88645,0.891,0.75531,0.52696,1.30609,0.03928,0.19649,0.01129,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,29033.3,0.52681,1.25049,0.07491,0.19287,0.01166,0.74086,0.97779,0.97719,0.99208,0.88923,0.91867,0.88669,0.89115,0.75724,0.52471,1.29862,0.0379,0.19497,0.01124,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,29560,0.51987,1.21925,0.07333,0.18802,0.01153,0.66835,0.97621,0.97732,0.99203,0.88975,0.91543,0.8898,0.89139,0.75812,0.52219,1.29459,0.03673,0.19608,0.01117,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,30081.4,0.51064,1.20403,0.07264,0.18449,0.01131,0.62595,0.97679,0.97834,0.99207,0.89121,0.91144,0.89451,0.89821,0.75906,0.51961,1.28967,0.03581,0.19625,0.01111,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,30605.8,0.50684,1.17138,0.07227,0.1837,0.01123,0.55977,0.97852,0.97655,0.99203,0.89137,0.91344,0.89426,0.8983,0.76023,0.51811,1.28479,0.03491,0.19451,0.01108,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,31129.6,0.4983,1.14816,0.07038,0.179,0.01095,0.50681,0.98027,0.97504,0.99202,0.89147,0.91487,0.89448,0.89849,0.75961,0.517,1.28261,0.03416,0.19362,0.01105,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
